School Name,Conference,Strength of Statement (Mentioning Good Cops) 1-7,Strength of Statement,Statement Link,Statement text,On Twitter?,"""Murder/Killing""","""Institutional/Systemic Racism""","""George Floyd""","""Breonna Taylor""","""Mentions-Blackness/Discrimination against Black people""",Taking Action?,"""Issue of Police""",Good Cops?,Follow up/updated statement?,Follow up Link
Northeastern University,,0,0,http://www.northeastern.edu/president/2020/06/01/campuses-can-close-minds-cannot/?linkId=100000012686671,"June 1, 2020 

To all members of the Northeastern community, 

For the past several months, a lethal pandemic has tested every level of society. Families everywhere have faced the loss of loved ones and the distress of financial insecurity. The institutions that shape our lives, including colleges and universities, have suspended normal operations. 

But the closure of our campuses does not mean the closure of our minds. And we can never close our hearts. While COVID-19 has required us to be apart, opposing inequality and working for social unity require us to join together. 

Racism, hatred, and ignorance—these are the scourges of a different kind of virus. To halt its spread, it is our obligation to work every day to embrace diversity, inclusion, and harmony. It is our mission to pursue knowledge through love, progress through compassion. 

As many of you know, I grew up in a land that was torn apart by sectarian violence. Witnessing the corrosive effects of hatred instilled in me a set of core values—that all people must be treated justly and equally. Growing up, America was always a shining beacon for these ideals. Sadly, as current events have reminded us, there is much work left to be done. Consider for a moment that the leading cause of death among young African American men is homicide. This is both incredible and unacceptable. 

COVID-19 does not recognize skin color, but it has exacerbated the inequality and racism that afflict our society. Communities of color are suffering in profound ways. The virus has hit them hardest; the economic collapse has impacted them disproportionately; and the ugliness of persistent racism has marginalized them systematically. 

In the words of Dr. King: “The function of education is to teach one to think intensively and to think critically. Intelligence plus character—that is the goal of true education.” As a community dedicated to learning and enlightenment, it is our duty to combine intelligence with character. It is our duty to ask: What will we do to make the world better? 

Let us begin today, right now, to mend the torn fabric of society. As we move to reopen our campuses, our core values of inclusion, equality and harmony will be our guiding lights. Our mission of discovery to make the planet healthier, safer, and sustainable has never been more urgent. The world has never seen a greater need for learning to lift millions of people from despair. We cannot achieve these goals if we are divided against one another. 

Together, let us take up the work of healing. Let us use our voices not just to call for a better society, but to create one. 

Sincerely, 

Joseph E. Aoun 
President",Yes,No,No,No,No,No,No,No,No,,
Northwestern University,,2,2,https://www.northwestern.edu/leadership-notes/2020/a-message-from-president-schapiro-regarding-the-tragic-events-in-minneapolis.html,"To the members of the Northwestern community:

I felt outrage and disgust watching video of the fatal mistreatment of George Floyd in Minneapolis. 

And I was further sickened this morning when our recent graduate, CNN’s Omar Jimenez, was arrested live on television for, as Medill Dean Charles Whitaker described it, “the sin of doing journalism.”

Our Northwestern community grieves for the many ways in which our society tolerates and facilitates injustices, demonstrated so vividly in these and other recent events. 

Dean Whitaker poignantly expressed his personal pain as a father of African-American sons. Many of the rest of us can barely begin to imagine the personal toll that racism takes on marginalized communities every single day. But we can all increase our resolve to create a Northwestern community, and a world, where all people are accorded the dignity and the safety they deserve. 

Our nation must do better, and I pledge that I, and our university, will work toward that end.",Yes,No,No,Yes,No,Yes,No,No,No,"Yes, from multiple deans addressing the problem",https://www.northwestern.edu/leadership-notes/2020/instrument-of-change.html
Oberlin College,,3,3,https://www.oberlin.edu/president/communication-president-ambar,"May 31, 2020

To the Oberlin Community, 

These last few days I have found myself at a loss. At a loss for words. At a profound loss of self, and at a loss for a community that I love, and of which I am a part. 

At every turn it seems we are watching in anguish a world that views African-Americans as less than human and unworthy of dignity. Not deserving of life itself. The black community – my community – is in excruciating pain. We are contending with what appears to be an unending well of racism and bigotry.

George Floyd’s agony was palpable. It would be natural for some to avert their eyes. To reframe recent events and to make them singular so that they do not seem like a societal ill, but rather a moment in isolation. But I can assure you that these events are not isolated and they are not singular.

We are witnessing an unraveling and a democracy that is now in search of its foundational societal norms. Hatred, anger, illness and death fill our screens. There is grief at the abandonment of our ideals and a tearing of the heart as we see the impact on our children.

Sending young people out into the world to reshape it, and to make it different, is how I have spent my career. Oberlin has had from its founding a commitment to solving racial inequity. We view our institution as a place where students come first to be educated, but where they also translate that education into something more. We seek understanding and creative ways of advocacy. We work so that the marginalized are no longer at the edges but rather at the center.

It is clear that we are falling short as a nation. Every George Floyd reminds us of the truth. We wonder if we are standing still, or even worse, if we are retreating. 

Yet, each day I hope. I hope because I simply refuse to despair, and because I see reason to hope every September. My hope is with the students who grace this campus. Every year we observe a different unending well here at Oberlin. Students arrive in the fall with a seemingly insatiable level of curiosity, a love and appreciation of difference, and an unyielding view that what has always been, does not have to be.

My hope is with our students. Hoping that they will have the courage to face the world as it is, and to be unrelenting in their desire to see it change.

To that end, this upcoming year I will establish a Presidential Initiative for faculty and students that seeks to address issues of violence, police-community relationships, and racial injustices. One could imagine courses, co-curricular initiatives, community engagements, and internships focused on the very issues that the death of George Floyd invokes. The primary goal of this initiative is not purely for learning, but for learning that demonstrably is applied to our world.

This small effort will not change what happened to George Floyd, but it is in keeping with who we are at Oberlin. I believe in our students and their impact on a generation that can place our nation back on the right path.

My hope is with our students. I see their passion and commitment and desire to do good in the world, and it moves me.

This country needs that hope now more than ever before.

President Carmen Twillie Ambar",No,No,No,Yes,No,Yes,Yes,No,No,,
Ohio State University-Main Campus,Big 10,1,1,https://twitter.com/OSUPrezDrake/status/1266517389514063872,"On behalf of The Ohio State University, I want to express our horror and disgust at the brutality and inhumanity we witnessed this week in Minneapolis. I am heartsick at seeing the death of yet another unarmed man in police custody, and yet another example of the racism that has crippled our nation for so very long. We must seriously and concretely redouble our efforts to end abuse, dicrimination, bigotry and hatred. I have reached out to leaders in our community to deepen and extend our dialogue on how to actively address racial injustice. We have witnessed despicable acts like this far too many times in our lives. We must work as one to live up to our values and to create the just society that is our birthright.",Yes,No,No,No,No,Yes,No,No,No,,
Oklahoma State University,Big 12,0,0,https://twitter.com/burnshargis/status/1266507473449562112,"Statement by the Big 12 Conference Board of Directors

As a conference representing thousands of students, faculty, and staff from all walks of life, we are committed to fostering a culture of inclusivity and respect in our campus communities. Acts of racism and violence, no matter their origin or target, contradict this core commitment we share within the Big 12 Conference. Recent incidents of racial violence underscore the need for us and for all Americans to joion together in addressing matters of racism and injustice in a united, meaningful way.",Yes,No,No,No,No,No,No,No,No,No,
Oregon State University,Pac-12,6,7,https://leadership.oregonstate.edu/president/after-another-tragedy-it%E2%80%99s-time-make-real-change-priority,"May 31, 2020

Members of the OSU community,

The primary role of police in America is to provide for the safety of all people by protecting them from criminals and to hold each of us accountable to the law. We expect police to apprehend criminals and work within the legal system to make certain that justice is blind and all are held accountable to the law.

We all have watched in horror videos being replayed over the past week showing the life of George Floyd brutally taken from him by a white police officer in Minneapolis, Minn., while three other officers sworn to uphold the law looked on in indifference. The officer who killed Mr. Floyd was arrested and all four of the officers were fired, but the other three officers simply went home.

Sadly, this horrific event is just the latest in a seemingly endless stream of acts of violence against Black and other people of color by police who are sworn to protect and serve them.

Mr. Floyd’s death comes on the heels of the Feb. 23 fatal shooting of Ahmaud Arbery by armed white residents as he was out jogging in a neighborhood in South Georgia. As well, the March 13 death of Breonna Taylor, who was shot in her Louisville, Ky. home by police. And the reporting to police last week of an African American man threatening a white woman when in fact he was in New York City’s Central Park to watch birds and simply asked her to keep her dog on a leash.

We continually hear speeches and testimonials about how unacceptable and terrible these acts are and how our leaders feel the pain of the Black community. Yet, nothing changes much and we act as if these horrific events are singular or isolated events. But these are not one-offs. They are the product of a failed justice system that perpetuates racism in America and too often a culture of silence within police forces that protects incompetent and hateful people simply because they wear the badge. We are condemned to relive these tragedies unless we make real change a priority throughout this country.

America must be a land of personal and equal freedom, safety and opportunity for all people. And to be certain, the police exist to protect us from predators and not to control us. That attitude should be universal in this country regardless of who we are, where we live or what we look like.

But how can we expect America and all people who live here — including communities of color — to thrive in the midst of such violence and injustice? How many times must we write the same messages expressing our outrage and hurt, sharing our thoughts and prayers for those harmed, and pleading for an end to injustice? How many acts of discrimination, injury and death must occur before our country confronts the realities of the lived experiences of people of color in our society? All of this must stop and that requires action not speeches.

Policing is a local function, but our system of policing requires systematic change across the country. On Monday, I will write the National Governors Association and urge the association and other groups to develop rules, training programs and disciplinary codes for appropriate policing to be enforced throughout America and for unions to step up and support the justice system in weeding out bad officers. Most police are good, dedicated, under-paid and hard working men and women, who risk their lives every day for the well-being of all people. They deserve our thanks and respect and they should not be subject to public scorn because we are incapable of holding some police accountable to the laws of our country and communities simply because they wear a badge. 

As a university community, we must join together to ensure that all members of the OSU community — students, faculty, staff and visitors — not only feel welcomed and safe, but experience our community as a place to thrive. Each and every member of our community must know they are valued, that they belong here, and that we celebrate the rich diversity that they bring to Oregon State University. We should not tolerate anything less. 

Our new police chief, Edgar Rodriguez understands that police must be a community partner that provide a sense of safety in the university and broader community. As we hire officers for our police force, the Office of Institutional Diversity will continue to provide training to OSU public safety officers on implicit bias, foundations of power, privilege and oppression to ensure that our public safety practices are congruent with OSU’s values regarding inclusivity and opposing oppression. University leaders also will to seek to achieve agreements with police agencies in communities where OSU operates so that we may mutually advance inclusive justice for all people. 

The novel coronavirus pandemic has made all of us look at the inequities in our society. We call people essential workers and yet we systematically pay them less than living wages and deny them critical health care and quality education for themselves and their children, and we act surprised that they are disproportionately vulnerable to death from the COVID-19 pandemic because of pre-existing conditions and that they are disproportionately people of color. When do we get disgusted enough with what we have created and say enough? 

We have a policing problem in America, but it is part of a much deeper and broader failure of this society to live up to the promise of America, which continually eludes us.

As I prepare to step down as university president on June 30, I am confident that our university and the OSU community are in the right hands with incoming president King Alexander. He and I talk often and I know he shares my personal values and leadership commitment to inclusivity, safety and opportunity for all. I know that as OSU’s next president, he will be unwavering in helping advance the work of inclusive justice and opportunity for all that must be part of life within OSU — and across America. Together with Chief Rodriguez, he will help us move in the right direction in our little part of the world.

In closing, I ask that each of us continue to participate in dialogue, leadership and understanding as we seek to alter the direction of society. I know this will not happen overnight, but by God it needs to happen soon. 

Sincerely, 

Edward J. Ray
President",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
Pennsylvania State University-Main Campus,Big 10,3,3,https://news.psu.edu/story/621754/2020/05/30/administration/response-tragic-death-george-floyd,"To the Penn State community, 

The tragic circumstances surrounding the death of George Floyd in Minneapolis, following other recent unspeakable tragedies, makes clear yet again that systemic discrimination and unjust racial disparities continue to plague our country. It is past time for change. 

We cannot remain silent in the face of this heart-breaking reality. As an institution of higher education, we have an obligation to fight ignorance and intolerance, model inclusivity and embrace the power that diversity represents. 

In the face of hatred and bias, we must speak out. We must not accept apathy, indifference or silence, otherwise we allow hatred, prejudice and intolerance to grow. 

Our message today is, foremost, one of profound compassion for all who live in fear that the color of their skin, gender identity, ethnicity or religion makes them a target of hate. Our hearts ache as we can only imagine the trauma, pain and frustration that many are feeling at this time. 

This message also reaffirms Penn State’s commitment to disrupting hate, bias and racism whenever and wherever we encounter it, and to creating the most inclusive and diverse community that we possibly can – one that is free of discrimination; one that embraces differences; and one that respects all individuals. 

We support our community as you express your sadness and anger through peaceful protest, and we know it is even more challenging to support and lift each other up during this global pandemic, with the added difficulty of social distancing. However, please know that our entire University community grieves with you, supports you and joins with you as we strive for positive change. 

Eric J. Barron 

President, Penn State",No,No,Yes,Yes,No,Yes,No,No,No,,
Pepperdine University,,1,1,https://www.pepperdine.edu/about/administration/president/statements/death-of-george-floyd.htm,"I have found myself experiencing a mixture of emotions over the past few days: anger, sadness, and disgust are chief among them. I know I am not alone.

At the very heart of Pepperdine is love for all people. Our community includes thousands of faculty, staff, students, and alumni from every walk of life and with differing backgrounds, perspectives, and experiences—each one of them beloved. We believe God designed creation that way—with beautiful diversity. God created every person with equal value and dignity, and
desires peace and justice in our world. As a Christian university, we are committed to being a light for justice, peace, and love, in our community, nation, and world.

Today, in the midst of the personal infliction of racial violence against Mr. George Floyd earlier this week, we stand in solidarity with those who have been affected, and with those who have lost loved ones in tragic incidents like this, now especially the family of George Floyd. We denounce the oppression of marginalized people and racism in all its forms. We stand for the tireless pursuit of justice for all, and the fight for radical and overdue change. We stand committed to upholding human rights for all people, and we affirm the values of racial equity, inclusion, and non-violence. As followers of Jesus, we stand with our Pepperdine community to declare that our God's heart is inclined toward the oppressed and marginalized, and we will not rest until there is healing and deep appreciation for the value of all of God's beloved.

May we all follow the wisdom of Micah 6:8, ""What does the Lord require of you but to do justice, to love kindness, and to walk humbly with your God.""

Jim Gash
President and Chief Executive Officer
Pepperdine University",No,No,No,Yes,No,No,No,No,No,,
Pratt Institute-Main,,3,3,https://www.pratt.edu/the-institute/administration-resources/office-of-the-president/speeches-and-letters/pratt-institutes-statement-on-racial-violence-and-discrimination/,"June 1, 2020

My dear Pratt community,

Like many of us, I am outraged and grieving the recent deaths of George Floyd in Minnesota, Breonna Taylor in Kentucky, Tony McDade in Florida, and Ahmaud Arbery in Georgia. These deaths and countless other acts of racial violence against the Black community have ignited protests across the country and here in Brooklyn, including at our own 88th police precinct across from our campus. It is further heartbreaking that this is happening at a time when people are already isolated, disheartened, struggling economically, and frightened about the future.

I believe it is important to restate firmly that Pratt Institute condemns injustice, discrimination, and racism in all forms, and maintains our unwavering commitment to diversity, equity and inclusion. We are listening and stand in solidarity with all of our colleagues, friends, and neighbors through this suffering and upheaval.

While Pratt’s campus remains closed by pandemic regulations, our essential workers continue to care for and protect our spaces, and in turn, we remain vigilant about protecting these workers and our entire Pratt community. We encourage students, faculty and staff who need additional support to reach out to available Pratt resources for assistance. Students can contact the Pratt Counseling Center twenty-four hours a day, seven days a week at 718-687-5356. Faculty and staff can seek support through Pratt’s Employee Assistance Program which is available 24 hours a day, seven days a week at 1-800-311-4327 (TDD 800-697-0353). More information is available online. Faculty and staff can also access Emotional Support Resources on Pratt’s website.

As a member of the Pratt community, the greater Brooklyn community and a nation of neighbors, I join with all of you in our respect and care for one another. As your president, I renew my commitment, and the Institute’s commitment, to work to eradicate racism and injustice through our curriculum, our outreach, and our mission.

Please continue to look out for the health and safety of your loved ones and yourselves.

Sincerely,



Frances Bronet
President",No,No,No,Yes,Yes,Yes,No,No,No,,
Princeton University,Ivy League,5,5,https://president.princeton.edu/blogs/president-eisgruber-statement-george-floyd,"In my Commencement address for today’s virtual ceremony, I say that members of the Class of 2020 graduate into hard times, and that the world needs not only their talent, but their insight, courage, and compassion. Though I recorded that speech less than two weeks ago, intervening events have reminded us that COVID-19 is not the only tragic challenge facing our students and our world.

We have witnessed yet again how this nation’s long legacy of racism continues to damage and destroy the lives of black people. The heartless killing of George Floyd in Minneapolis occurred soon after the unjust shootings of Ahmaud Arbery in Georgia and Breonna Taylor in Louisville. It coincided with the appalling harassment of Christian Cooper in New York’s Central Park, an incident that demonstrated how easily a racist complaint could put a black man in danger. The COVID-19 pandemic itself has killed black and brown Americans at higher rates than other groups, magnifying disparities in healthcare and economic well-being.

We all have a responsibility to stand up against racism, wherever and whenever we encounter it. Commitments to diversity, inclusivity, and human rights are fundamental to the mission of Princeton University. I ask all of us to join the graduates in the Class of 2020 in their quest to form a better society, one that confronts racism honestly and strives relentlessly for equality and justice.",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,
Purdue University-Main Campus,,2,2,https://twitter.com/LifeAtPurdue/status/1267572966801526784/photo/1,"Events around our nationa have reminded us yet again of the work that remaings for all of us in creating a country where racism and bigotry are eliminated and where African American men and women, boys and girls, can live without fear. WE are angered and saddened by the death of George Floyd, the victims who came before him, and those killed or otherwise harmed in the wake of Mr. Floyd's death. We hurt with those who are hurting and we pledge to continue to work toward a solution in which everyone is treated with civility and respect.",Yes,No,No,Yes,No,Yes,No,No,No,,
Reed College,,3,3,https://www.reed.edu/president/communications/speaking-up-and-out-in-the-face-of-injustices.html,"May 29, 2020

Dear Reed community,

This week, the tragic death of George Floyd weighs heavily on my heart. The unspeakable video images of Mr. Floyd’s last moments bear witness to a reality faced by black people and people of color every day in this country: racism is a constant threat, and daily activities like driving, jogging, shopping, and simply walking home pose danger. Mr. Floyd’s death follows other widely publicized (and innumerable unpublicized) racist acts that have taken or diminished the lives of black people and other people of color. Communities of color are experiencing a heightened sense of danger and exhaustion, resulting in more public and widespread expressions of pain, suffering, fear, and outrage. I am united with you in grieving the unconscionable acts of violence that stem from racism.

I came to Reed because Reed has made the commitment to becoming an ever more inclusive community, including putting into practice the goals and aspirations reflected in our diversity and anti-racism statements. Today we recommit ourselves to those goals, both by examining our individual actions and by interrogating and reforming our institutional structures, policies, and practices to mitigate the harmful effects of racism on our community—past and present.

In addition to these most recent and explicit acts of racism, I also acknowledge the less visible but persistent and pervasive forms of racism that people of color encounter on a daily basis. While I offer my words of support and solidarity, I am keenly aware that they will provide little comfort and are not enough. We as a community, nation, and world must continue to work for change and speak up and out in the face of injustices, particularly those injustices that we have agency to interrupt.

My heart goes out to you all.

Audrey

----

Audrey Bilger
President",No,No,Yes,Yes,No,Yes,No,No,No,,
Rensselaer Polytechnic Institute,,,,No Statement,,,,,,,,,,,,
Rhodes College,,,,No Statement,,,,,,,,,,,,
Rice University,,4,4,http://news.rice.edu/2020/06/01/leebron-we-must-act-to-reduce-deadly-discrimination-and-racism/,"Rice President David Leebron sent the following message to the university community May 30: 

We draw many things from being a community. We do things collaboratively. We define and share our values. We take collective joy in our successes. We commiserate when there are reasons for sadness. And we come together in times of crisis and danger. 

Over the summer, when our students and also to some extent our faculty are dispersed, the immediate sense of community and our ability to rely on it is diminished. This year that is even more so since our education has been completely online since March. And although our students may still be seeing each other in classes on screens, many of the casual interactions that build our connections to each other no longer take place. 

There is of course great sadness sweeping across our world and our country because of the pandemic. Many have lost friends and family members. Many more are living in isolation and under constant threat of danger to their health. Tens of millions have lost their jobs, and collectively our country is facing a level of unemployment and financial distress we have not seen in 90 years. And these burdens have fallen unequally on different communities. 

And yet, amid all of that, there is now a deep pang of pain sweeping across America that cries out for recognition, that demands that our voices be heard. 

Just three weeks ago I wrote on Twitter about the horrific shooting of Ahmaud Arbery, who was killed while jogging in the coastal city of Brunswick, Georgia, in late February. In mid-March, Breonna Taylor, a young emergency medical technician in Louisville, Kentucky, was killed in her apartment when police entered. And last week, George Floyd was killed in Minneapolis when an arresting officer knelt on his throat for over eight minutes. 
What these recent cases, and others, have in common is that they all involved victims who were black Americans. Black Americans who were treated as a threat when they weren’t. Black Americans who were treated as if they did not belong in a place when they did. Black Americans who were treated as if they were not a vital part of the fabric of this nation when they have fought and died and sacrificed for it as much as any others. Black Americans who were killed when the circumstances provided no justification. 

There is anger and pain and fear across America, not because these are new things to deal with, but because they aren’t. Last fall, for example, Atatiana Jefferson, a young Xavier University graduate working in the pharmaceutical industry, was killed by a police officer who entered her home in Fort Worth, Texas, without identifying himself. The names of these victims are seared in our memories. 

For the most part, I write to the campus about events only when they directly involve Rice, and usually when our campus is in session. But occasionally, external events, nearby or far away, are such that they reach deeply into our community and especially affect a valued part of the Rice community. And so although we are currently dispersed and these incidents did not directly involve members of the Rice community, we must acknowledge that these events cause pain and fear to a vital part of our community. It is a pain and fear that many of us have trouble even imagining. Even in the middle of a global pandemic, it is a deep and enduring pain and fear that deserves acknowledgment and caring, and recognition that we must do better. 

We must therefore join with our own expressions of concern and sympathy and outrage. We must work to build an inclusive environment, one that respects and values people from different backgrounds. We must take part in efforts to reduce the deadly discrimination and racism that is an unstaunched wound in our national fabric. 

And so I write today to convey on behalf of the Rice community, to all of our community, and most especially to the black members of our community, that we acknowledge the sorrow and the fear and the pain. And that we know as a university and as individuals we must contribute to healing that wound.",No,Yes,No,Yes,Yes,Yes,No,No,No,,
Rochester Institute of Technology,,1,1,https://www.rit.edu/news/respect-inclusivity-equity-note-dr-munson-and-dr-jenkins?utm_source=twitter&utm_medium=social&utm_campaign=mc-ss-announcements&utm_term=&utm_content=munson_jenkins_note,"To the RIT community,

It is hard to find words to express the collective hurt, anger, and shame our nation is feeling. It’s particularly hard as we’ve been here before and we haven’t realized the needed change. We haven’t put racial inequity behind us. We have failed to right the wrongs built up over centuries.

We again face a highly disturbing situation that regrettably has become all too familiar — the senseless death of yet another black man, George Floyd. The most recent ferment follows a series of high-profile incidents of violence against people of color. As protests continue across the nation, the outcry from all who value justice and equity demands our attention and response. While we strongly condemn the rioters who have incited violence, we wish to recognize the altruistic majority that is heartbroken. Our country is hurting; our cities are hurting; our RIT community is hurting. 

We have a responsibility at RIT to be part of the world, not set aside from it. We strive to create an environment that encourages free inquiry, free expression, and community involvement. Members of the RIT family express, vigorously defend, and openly promote their ideas and opinions. Now is the time for our community to help foster productive dialogue and actions that extend beyond our campus. We must act to ensure a strong future for all. Social reformer, writer, and Rochestarian Frederick Douglass once said, “The life of a nation is secure only while the nation is honest, truthful, and virtuous.” His words from more than one hundred years ago still ring true today.

We may not be together on campus at this time, but we cannot let distance prevent us from envisioning a course for change. Working with our Division of Diversity and Inclusion, we invite you to be attentive to opportunities that allow for discussion and further education regarding these difficult topics.

During this challenging period, we encourage those who need support to call on the Division of Diversity and Inclusion. Students also can access services through our Case Management Office or Counseling and Psychological Services.

At this critical time, let us show the strength of RIT’s character and use it to foster a healthier climate of respect, inclusivity, and equity for all.

Sincerely,

David Munson, President

Keith Jenkins, Vice President and Associate Provost for Diversity and Inclusion",No,No,No,Yes,No,No,No,No,No,,
Rockhurst University,,3,3,https://twitter.com/RockhurstU/status/1267482720835428353,,No,No,Yes,Yes,No,Yes,No,No,No,,
Saint Louis University,,5,5,https://www.slu.edu/about/leadership/messages/starting-point-injustice-healing.php,"6/01/2020

Dear members of the Saint Louis University community, 

I am aware of the disappointment felt by some because we had not yet issued a response from the University and from me about the death of George Floyd, and the protests that have followed. 

Let me be abundantly clear, Saint Louis University mourns the loss of Mr. Floyd, and we stand in stark opposition to the systemic racism that took George Floyd from his loved ones. 

I want to assure the black members of our community that I see each and every one of you, and that I care about you. That we at Saint Louis University care about you, we see your pain, and we grieve with you. I am grateful for your presence and contribution to our university community. 

These faculty, staff, students, trustees and benefactors shape and transform us. Without them, as well as without each one of you who is reading this message, Saint Louis University loses meaning, purpose and any compelling reason to identify itself as Jesuit or Catholic. 

We know this pain and sense of mourning runs deeper than what happened on May 25 on that Minneapolis street. This is about the black lives lost and limited, not from natural causes, but from the sin that is racism. We mourn for Breonna Taylor. And Ahmaud Arbery. And Sandra Bland. And Philando Castile. And Michael Brown. And Vonderrit Myers, Jr. And tragically, the list goes on and on. 

This is about the countless, pervasive ways institutions, policies, programs, and systems are structured in a manner that oppresses people of marginalized identities. 

As a University and as individuals, there is much work to be done and we all have a part to play. You may not know how to start, and that is okay. But we must start. Read, listen, reach out to one another and offer empathy and support. Listen intensely and seek understanding. 

Every waking moment of the last several days, I have prayed about what I want to say to you and what we ought to do. One of the thoughts that I could not shake was this, “What did we say the last time this happened?” 

The last time. 

Statements are, quite simply, not enough. They were not enough the last time. And they will not be enough this time. But we are and can continue to do something before the next time. 

A group of institutional leaders, including several students, are discussing and working toward intentional, institutional next steps. 

As I have said before, “For those in our community who are feeling scared, tired, weary, or wondering when or if we will see the day where the hateful rhetoric and dehumanizing violence come to an end, you are not alone. Solidarity and community mean that we never have to face such evil alone.” 

That was true then. It is true now. And it always will be true. 

In solidarity, 

Fred P. Pestello, Ph.D.
President",No,No,Yes,Yes,Yes,Yes,Yes,No,No,,
Saint Mary's College,,5,5,https://www.saintmarys.edu/inclusion-and-equity#OurStandOnRacism,"June 1, 2020

Dear members of the Saint Mary’s College community,

This past weekend, hundreds of protests were organized across the United States and around the world demanding attention to racial injustice. Communities are calling for action, insisting that we — individually and collectively — must take a forceful stand against racism, speak out for racial justice, and embrace the plain truth that Black lives matter. The murder of George Floyd and the tragic deaths of Ahmaud Arbery, Breonna Taylor, and countless others, have incited outrage, and we believe this is righteous anger. In the broader community of South Bend, the 2019 death of Eric Logan and its divisive after-effects show that right here in our city there is much work to be done.

Our country’s current unrest takes place in the context of the coronavirus pandemic, and all evidence points to the ways that communities of color have been disproportionately impacted by this global health crisis. Our health systems, our criminal justice systems, our political systems, and even our educational systems cry out for reform, and that reform begins with the eradication of systemic racism.

In 2018, Saint Mary’s College created a statement in which we declared our commitment to fight for justice for all marginalized, victimized populations, and we pledged actively to disrupt the dehumanizing effects caused by systemic and individual racism. We write to you today to reiterate that commitment and offer the full statement:

As a Catholic institution of higher learning, Saint Mary’s College has a mission-driven responsibility to be diverse, inclusive, and equitable. We believe in the inherent value of diversity in its multiple dimensions, including but not limited to race, ethnicity, culture, religion, nationality, geographic origin, beliefs, ideas, socioeconomic class, sexual orientation, gender expression, ability, veteran status, and age. To honor that value, the College is committed to creating and maintaining an environment that respects the human dignity and civil rights of all persons, particularly those from groups that have historically experienced discrimination and persecution. By actively resisting bigotry and marginalization, we endeavor to work against the effects of past injustices and to dismantle current forms of injustice. In particular, we recognize the insidiousness of systemic and individual racism, both intentional and unintentional, and we strive to actively disrupt its dehumanizing effects. We expect every member of the Saint Mary’s College community to uphold these commitments in our programs, practices, pedagogy, and policies.

If we are to fulfill our College’s values — including those of community and justice — we challenge ourselves and you to commit to: 

Engage in continuous learning to understand the challenges of communities impacted by racial injustice
Develop an awareness of our own biases and work towards overcoming them
Call out racism and injustice wherever we see it
Honor the experiences of others by listening and validating their narrative
Foster friendships with people from diverse backgrounds
Support organizations that are committed to addressing issues of diversity, inclusion, and justice
Support policies and laws at the federal, state, and local levels that address disparities in educational opportunities, health care, housing, and law enforcement. 
The Saint Mary’s College Office of Inclusion and Equity serves as an essential resource in furthering our emphasis on diversity, equity and inclusion. Please visit the Office’s web page frequently to avail yourself of the many resources, and watch for Saint Mary’s College programming related to these issues in the coming weeks.

As we draw on our faith, we pray for George Floyd, Ahmaud Arbery, Breonna Taylor, the many Black and Brown victims of police brutality and violence and all others who have lost their lives in a similar manner. We pray for comfort for grieving families, friends, and members of the Saint Mary’s community. But we know that prayer alone is not enough. We are called to open our hearts, join our voices, reaffirm our commitment to overcome prejudice, and work for the dismantlement of systems that oppress our sisters and brothers. 

In Solidarity,

Katie Conboy, PhD, President
Mona Bowe, Vice President Enrollment Management
Michelle Egan, Special Assistant to the President
Judith R. Fean, Vice President of Mission
Redgina Hill, PhD, Executive Director of Inclusion and Equity
Gloria Jenkins, Interim Vice President of Student Affairs

Martha McCampbell, General Counsel
Todd Norris, Chief Information Officer
Shari Rodriguez, Vice President of College Relations
Julie Sisco, Director of Institutional Research
Dana Strait, PhD, Vice President for Strategy and Finance 
Titilayo Ufomata, PhD, Provost and Senior Vice President",No,Yes,Yes,Yes,Yes,No,Yes,No,No,,
Salem College,,2,2,https://www.salem.edu/news/2020/5/message-president-doran,"Dear Salem Community:

Today, I wish to lend my voice to the conversations surrounding the heartbreaking events that are occurring in our nation, the latest of which is the death of George Floyd. This is a sad reminder that there is still much work to be done.

As we embark upon our 250th anniversary, celebrating being the first and oldest women’s institution in America, an institution that is proud to have been in existence before there was even a United States of America, we see much has changed, yet I am horribly struck by how much has remained the same. The recent events in our nation highlight, once again, the systemic racial inequality and injustice that prevent us from living up to our highest ideals. As an institution, Salem has also grappled with her racial past and how that past called us to acknowledge that role in our history and challenged us all to see the experience and value of others.

Salem remains, as one of our core values, unapologetically committed to honoring equity, diversity, and inclusion and to the ongoing work of dismantling systems of racism and oppression. We embrace each individual for the value of their experiences that add to the Salem community and the expanded community our students and alumni strive to positively impact every day.

The coronavirus crisis impedes our ability to connect with one another in ways that we desperately need at this moment. We are available to support you in any way we can.

Salem will be relentless in our commitment to addressing the systemic inequalities and injustices in our society. We will be here, working together over the coming months and years, for however long it takes, to create a more just world, a world that will make us all proud. We, and society as a whole, deserve that reality.

Ever Salem,

Sandra J. Doran signature
Sandra J. Doran
President",No,No,Yes,Yes,No,No,No,No,No,,
